label,bag_path,duration_sec,maximum_speed_kph,wheel_contacts,minimum_wheel_clearance_m,rear_center_rms_m,rear_center_max_m,cte_rms_m,cte_p95_m,cte_max_m,cte_max_elapsed_sec,minimum_wheel_clearance_elapsed_sec,minimum_wheel_clearance_x_m,minimum_wheel_clearance_y_m,curved_cte_p95_m,high_speed_cte_p95_m,steering_rate_rms_degps,steering_rate_p95_degps,straight_samples,straight_brake_samples,brake_samples,direct_pedal_reversals,heading_suppression_samples,maximum_heading_suppression_weight
recovery_only_cap_05,/tmp/session_final58_extended_05.bag,129.73345565795898,58.30681228637695,0,0.08170832199257161,0.14699433840238657,0.34313167899183916,0.14855029980128578,0.32389834504668547,0.49446341671698624,64.0000991821289,74.07500696182251,2.1702374820015393,108.87908703833818,0.34381468466968323,0.21293171491002355,18.439784796041913,51.42146530958369,940,0,414,16,33,0.3
recovery_only_cap_06,/tmp/session_final58_extended_06.bag,129.6999237537384,58.2875244140625,0,0.057077031466180594,0.1457264641532921,0.338230233510443,0.1467466208718431,0.3152541957105911,0.5280125341041778,115.13316631317139,115.11394691467285,-79.05538146337494,340.97533951699734,0.34625322302552647,0.18955036279390977,18.123245346173324,51.18351590590181,940,0,406,16,26,0.3
recovery_only_cap_07,/tmp/session_final58_extended_07.bag,129.73370051383972,58.30005569458008,0,0.09245171344965564,0.14900578858998625,0.35675464754210484,0.14645717700164285,0.32041079433650277,0.4923958433627711,10.166728973388672,10.064016103744507,-94.6780372139765,-360.6852380540222,0.33655907655200434,0.21641879935712605,18.5058133576648,52.878845026418595,936,0,439,20,37,0.3
recovery_only_cap_08,/tmp/session_final58_extended_08.bag,129.70006132125854,58.28871231079102,0,0.08380877009442744,0.14687084745884715,0.33979007469391354,0.1484045233051504,0.31952353271214606,0.4976467998908558,10.433424472808838,110.47203540802002,-95.24032388208434,325.8131499388255,0.3375307233818171,0.17694465096069356,18.211981642399145,53.68048427032607,930,0,410,18,42,0.3
recovery_only_cap_09,/tmp/session_final58_extended_09.bag,129.6999843120575,58.30675735473633,0,0.13140019821358817,0.14502557085672882,0.3319193892804871,0.1437730338854238,0.31225836665204565,0.4392474648902224,13.500089645385742,13.375188827514648,-99.10921410203446,-347.81347120087594,0.3354079273240408,0.19557586369647217,18.09040358112411,50.41874163316539,941,0,441,18,32,0.3
recovery_only_cap_10,/tmp/session_final58_extended_10.bag,129.76672649383545,58.31560134887695,1,-0.021310847319214954,0.14697861240818305,0.32950366351578586,0.14672772115700455,0.3108800265801849,0.616085726043171,114.4999680519104,114.48645949363708,-80.24684086232446,340.6333039952442,0.3294402566569751,0.17946383520917353,18.52838995954383,53.580980902996664,940,0,421,20,28,0.3
final_heading_cap_rate1_01,/tmp/session_heading_final_cap_01.bag,129.69998049736023,58.320943450927736,0,0.06590256639491998,0.14819973889595495,0.3431336329850236,0.14983710053380908,0.3156625952017301,0.5013833390033835,13.733535051345825,13.720147848129272,-99.83109171350952,-347.0563406920992,0.33563384153949094,0.21095101675666963,19.22952300985723,59.38773228475049,962,0,417,18,32,0.3
final_heading_cap_rate1_02,/tmp/session_heading_final_cap_02.bag,129.73353338241577,58.29297637939453,0,0.1031557171298052,0.14600769091884494,0.3331521738363376,0.14485293711719519,0.3089873768541549,0.47538776940995353,114.59999370574951,13.480509281158447,-99.2527193671558,-347.62505831569433,0.33067798752717376,0.16268411488129134,18.17301034623862,51.72318816019959,935,0,416,16,34,0.3
final_heading_cap_rate1_03,/tmp/session_heading_final_cap_03.bag,129.76675271987915,58.31338348388672,0,0.04240972237285434,0.1455785575190934,0.32320330392736474,0.14368275027709607,0.3023223322091461,0.5643727236558997,114.73337388038635,114.71353578567505,-80.84692251344677,340.2773521821946,0.3194795157689906,0.17882335160476406,18.10834939832357,52.215769652439135,928,0,420,18,39,0.3
final_heading_cap_rate1_04,/tmp/session_heading_final_full_04.bag,129.76638412475586,58.304972076416014,0,0.05204863840987439,0.1451795652270039,0.35671789892803296,0.14511483197946648,0.31285681332845994,0.5365571430148737,10.299672603607178,10.23701000213623,-94.6780372139765,-360.6852380540222,0.33681411348673634,0.1799622046835331,18.452554740294506,52.61143687400192,941,0,435,22,53,0.3
